#,SKU Code,SKU Name (original),Folder Name,Brand,Manufacturer,Pack,MRP,Image Count
42,c0dd2522-1f1b-4dcc-bc4b-8d7e006fa590,"Priya Ginger Garlic Paste, 15 Gm","Priya Ginger Garlic Paste, 15 Gm",Priya,Ushodaya Enterprises Private Limited,15 Gram,5,0
43,e16ad0f9-5451-4f6a-9245-a73922159bfc,"Priya Ginger Pickle, 300 Gm","Priya Ginger Pickle, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
44,3c38d0c9-3769-48d4-8cec-ab8e551ce395,"Priya Ginger Pickle, 40 Gm","Priya Ginger Pickle, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
45,41a24eda-9e51-4f8f-87fa-350a11e7c088,"Priya Gongura Pickle, 300 Gm","Priya Gongura Pickle, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
46,554ed052-aeeb-472a-9ad4-f3f5f240a6ab,"Priya Gongura Pickle, 40 Gm","Priya Gongura Pickle, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
47,4691824a-bc05-462a-bb6a-42087ad81262,"Priya Green Tamarind Pickle Without Garlic, 300 Gm","Priya Green Tamarind Pickle Without Garlic, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
48,ca02682c-fc45-48eb-8fc4-96fcf03b9968,"Priya Instant Gulab Jamun Mix , 175 Gm","Priya Instant Gulab Jamun Mix , 175 Gm",Priya,Ushodaya Enterprises Private Limited,175 Gram,133,0
49,e885d036-aad0-4995-ae6d-20bd74579dfc,"Priya Hyderabadi Chicken Biryani Masala, 8 Gm","Priya Hyderabadi Chicken Biryani Masala, 8 Gm",Priya,Ushodaya Enterprises Private Limited,8 Gram,5,0
50,6417a362-09ed-4f8e-aaed-20cc85ebad82,"Priya Papad Jeera Appalam, 100 Gm","Priya Papad Jeera Appalam, 100 Gm",Priya,Ushodaya Enterprises Private Limited,100 Gram,35,0
51,48743b69-7d88-4169-840d-f969919d1e8f,"Priya Lime Pickle in Lime Juice, 300 Gm","Priya Lime Pickle in Lime Juice, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
52,4153d068-2574-46cc-bd4e-97c718402939,"Priya Lime Pickle in Lime Juice, 40 Gm","Priya Lime Pickle in Lime Juice, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
53,e769dc57-5e8a-46e4-9c53-b302bc2f8bd5,"Priya Mango Avakaya Pickle, 300 Gm","Priya Mango Avakaya Pickle, 300 Gm",Priya,Ushodaya Enterprises Private Limited,300 Gram,103,0
54,f845fd90-8d90-44d9-bb59-a0f2adf36f5d,"Priya Mango Avakaya Pickle, 40 Gm","Priya Mango Avakaya Pickle, 40 Gm",Priya,Ushodaya Enterprises Private Limited,40 Gram,10,0
55,eccde15b-ffd0-4eba-a361-d44ac4ccc1a5,"Priya Mango Avakaya Pickle, 1 Kg","Priya Mango Avakaya Pickle, 1 Kg",Priya,Ushodaya Enterprises Private Limited,1 Kilogram,309,0
